,V1,N
1," Hepta-2,4-dienoic acid, methyl ester",1
2," Pentanoic acid, 4-oxo-, methyl ester",1
3," Propanoic acid, 2-hydroxy-, methyl ester, (Ò)-",1
4,(ISTD) 3-Ethoxy-4-methoxybenzaldehyde,2
5,(ISTD) Ethyl vanillin,2
6,"1-Butyne, 3,3-dimethyl-",1
7,1-Heptene,1
8,1-Hexadecene,1
9,"1-Hexene, 3-methyl-",1
10,"1-Pentene, 3-ethyl-2-methyl-",1
11,1-Undecanol,1
12,"1,2-Benzenediol, 3-methoxy-",2
13,"1,2-Benzenediol, 4-methyl- (Homocatechol)",2
14,"1,2-Cyclohexanedione",2
15,"1,2-Cyclopentanedione, 3-methyl-",1
16,"1,2,3-Benzenetriol",2
17,"1,3-Butadiene",1
18,"1,3,5-Cycloheptatriene",2
19,"1,4-Benzenediamine",1
20,"1H-Inden-1-one, 2,3-dihydro-",2
21,"1H-Indene, 5,6-dimethoxy-",2
22,"1H-Pyrrole-2-carboxaldehyde, 1-methyl-",1
23,"1H-Pyrrole, 1-methyl-",1
24,"1H-Pyrrole, 2-methyl-",1
25,"1H-Pyrrole, 3-methyl-",1
26,"1H-Tetrazole, 1-methyl-",1
27,2-Acetylfuran,2
28,"2-Butanone, 3,3-dimethyl-",1
29,"2-Butenedioic acid, 2-methyl-, (E)-",2
30,2-Cyclohexen-1-one,1
31,"2-Cyclopenten-1-one, 2-hydroxy-3-methyl-",2
32,"2-Cyclopenten-1-one, 2-methyl-",2
33,"2-Cyclopenten-1-one, 2,3-dimethyl-",2
34,"2-Cyclopenten-1-one, 3-methyl-",1
35,2-Furanmethanol,1
36,2-Methoxy-5-methylphenol,1
37,2-Naphthalenol,1
38,2-Pentanone,1
39,"2-Pentenedioic acid, dimethyl ester",1
40,"2-Propanone, 1-(4-hydroxy-3-methoxyphenyl)- (Guaiacylacetone)",2
41,"2-Propanone, 1-(4-methoxyphenyl)-",1
42,"2-Propenoic acid, ethenyl ester",2
43,2-Pyrimidinamine,1
44,"2(3H)-Benzofuranone, 3-methyl-",2
45,"2(3H)-Furanone, 5-methyl-",2
46,2(5H)-Furanone,1
47,"2(5H)-Furanone, 5-methyl-",1
48,"2,3,5-Trimethylnaphthalene",1
49,"2,5-Furandione, 3-methyl-",2
50,2H-1-Benzopyran-2-one,2
51,"2H-1-Benzopyran-3,4-diol, 2-(3,4-dimethoxyphenyl)",2
52,2H-Pyran-2-one,2
53,3-Decene,1
54,3-Furaldehyde,2
55,3-Methylindole,2
56,3-Methylpyridazine,1
57,"3-Penten-2-one, (E)-",1
58,3-Phenylpyridine,1
59,3-Pyridinol,2
60,"3,4-Dimethoxyphenylacetone",2
61,4-Amino-2(1H)-pyridinone,2
62,4-Hydroxy-2-methylacetophenone,2
63,4-Pyridinecarbonitrile,1
64,"4H-Pyran-4-one, 3-hydroxy-2-methyl-",2
65,5-Dimethylaminopyrimidine,1
66,5-Ethyl-2-furaldehyde,2
67,5-tert-Butylpyrogallol,1
68,7-Methylindan-1-one,2
69,7-Tetradecene,1
70,"9-Octadecenoic acid, methyl ester, (E)-",2
71,"9,12-Octadecadienoic acid (Z,Z)-, ME ? (C18:2n6c Linoleic acid ME))",1
72,Acenaphthene,1
73,Acenaphthylene,2
74,"Acetamide, N-hydroxy",1
75,Acetic acid,1
76,"Acetic acid, methylester",1
77,Acetic anhydride,2
78,Acetophenone,1
79,Alpha-amino-gamma-butyrolactone,1
80,Asarone,1
81,Benzaldehyde,2
82,"Benzaldehyde 3,4-dimethoxy",2
83,"Benzaldehyde, 4-hydroxy-3-methoxy- (Vanillin)",2
84,"Benzaldehyde, 4-hydroxy-3,5-dimethoxy- (Syringaldehyde)",2
85,"Benzaldehyde, 4-methoxy-",1
86,"Benzene, (1-methylethyl)-",2
87,"Benzene, 1-ethenyl-3-methyl-",1
88,"Benzene, 1-ethenyl-4-methoxy-",1
89,"Benzene, 1-ethyl-4-methoxy-",1
90,"Benzene, 1,2-dimethoxy-",1
91,"Benzene, 1,2-dimethoxy-4-(1-propen-1-yl)- (Methylisoeugenol)",2
92,"Benzene, 1,2,3-trimethyl-",2
93,"Benzene, 1,4-dimethoxy-",2
94,"Benzene, 1,4-dimethoxy-2,3,5,6-tetramethyl-",2
95,"Benzene, 2,4-diisocyanato-1-methyl-",2
96,"Benzene, 4-ethenyl-1,2-dimethoxy-",2
97,"Benzene, propyl-",1
98,"Benzeneacetic acid, 4-hydroxy-3-methoxy- (Homovanillic acid)",2
99,Benzenepropanenitrile,1
100,Benzofuran,2
101,"Benzofuran, 2-methyl-",2
102,"Benzofuran, 2,3-dihydro-",2
103,"Benzoic acid, 4-hydroxy-3-methoxy-, methyl ester (Vanillic Acid, methyl est)",1
104,"Benzoic acid, 4-hydroxy-3-methoxy-, methyl ester
(Vanillic Acid, methyl est",1
105,"Benzoic acid, 4-hydroxy-3-methoxy-Vanillic acid)",2
106,"Benzoic acid, 4-hydroxy-3,5-dimethoxy-, hydrazide",2
107,"Benzoic acid, methyl ester",1
108,Benzyl nitrile,1
109,Biphenyl,1
110,C14_alkene_#3,2
111,C8_H16,1
112,C9_H8,2
113,Cyclobut-1-enylmethanol,1
114,"Cyclopent-2-ene-1-one, 2,3,4-trimethyl-",2
115,Cyclopentanone,1
116,D-Limonene,1
117,Diethyltoluamide (DEET),2
118,Dimethylbenzofuran,2
119,"Dimethylpyrrole (2,5 or 2,4)",1
120,Dodecene,1
121,"Ethanone, 1-(3-hydroxy-4-methoxyphenyl)-",1
122,"Ethanone, 1-(3,4-dimethoxyphenyl)-",2
123,"Ethanone, 1-(3,4,5-trimethoxyphenyl)-",2
124,"Ethanone, 1-(4-hydroxy-3-methoxyphenyl)-  (Acetovanillone)",2
125,"Ethanone, 1-(4-hydroxy-3,5-dimethoxyphenyl)- (Acetosyringone)",2
126,Ethylbenzene,2
127,Ethylphenol,2
128,Fluorene,1
129,"Furan, 2,4-dimethyl-",2
130,"Furan, 2,5-dimethyl-",1
131,Furfural,2
132,"Furfural, 5-methyl-",2
133,"Hex-2-yn-4-one, 2-methyl-",1
134,"Hexadecanoic acid, methyl ester (Palmitic acid-C16)",2
135,Hydroquinone,1
136,Indane,2
137,Indole,2
138,Isocrotonic acid,1
139,Levoglucosan,2
140,Levoglucosenone,1
141,m-Aminophenylacetylene,1
142,m-xylene,2
143,Mequinol,1
144,Methyl 2-furoate,2
145,"Methylparaben (Benzoic acid, 4-hydroxy-, methyl ester )",2
146,N-Butyl-tert-butylamine,2
147,N-Isopropyl-4-piperidone,2
148,n-Octane,1
149,n-Pentacosane (C25),2
150,n-Tricosane (C23),2
151,Naphthalene,2
152,"Naphthalene, 1,2-dihydro-4-methyl-",2
153,Nonanedioic acid (Azelaic Acid),1
154,p-isopropenylphenol,2
155,Pentylenetetrazol,1
156,Phenol,2
157,"Phenol, 2-methoxy- (Guaiacol)",2
158,"Phenol, 2-methoxy-4-(1-propenyl)- (4-Isoeugenol)",1
159,"Phenol, 2-methoxy-4-(1Z)-1-propen-1-yl- (cis-Isoeugenol)",2
160,"Phenol, 2-methoxy-4-(2-propenyl)- (4-Eugenol)",2
161,"Phenol, 2-methoxy-4-methyl- (4-Methylguaiacol)",2
162,"Phenol, 2-methoxy-4-propyl- (4-Guaiacylpropane)",2
163,"Phenol, 2-Methoxy-4-vinyl- (Vinylguaiacol)",2
164,"Phenol, 2-methoxy-5-(1-propenyl)-, (E)-",1
165,"Phenol, 2,4-bis(1,1-dimethylethyl)-",1
166,"Phenol, 2,6-dimethoxy- (Syringol)",2
167,"Phenol, 2,6-dimethoxy-4-(2-propenyl)- (Methoxyeugenol)",2
168,"Phenol, 3,4-dimethyl-",2
169,"Phenol, 4-ethyl-2-methoxy- (Ethylguaiacol)",2
170,"Phenol, 4-ethyl-2,6-dimethoxy- (Ethylsyringol)",2
171,"Phenol, 4-methyl-",2
172,Propene,1
173,"Pyrazolo[5,1-c][1,2,4]benzotriazin-8-ol",2
174,Pyridine,1
175,"Pyridine, 3,5-dimethyl-",1
176,Pyrrole,1
177,"Pyrrolidine, 1-nitroso",2
178,Pyruvaldehyde,1
179,Resorcinol (Dihydroxybenzene),2
180,"Spiro[2.4]hepta-4,6-diene",1
181,Styrene,2
182,"Succinic acid, dimethyl ester",1
183,Toluene,2
184,Trimethylphenol,2
185,Vinyl crotonate,2
186,Vinylfuran,2
